Id	Cluster	Interpretation	Family
55375	24	Temperature	Bearing
55387	19	 Exhaust thermocouple	Turbine
55384	14	Tank level	OIl
55416	14	Tank level	OIl
55432	28	Flame	Combustion
55444	34	Bleed	Valve
55440	19	 Exhaust thermocouple	Turbine
55465	7	Sump/Scavange	Oil
55454	19	 Exhaust thermocouple	Turbine
55455	30	Temperature	Turbine
55461	7	Sump/Scavange	Oil
55492	19	 Exhaust thermocouple	Turbine
55495	14	Tank level	OIl
55497	19	 Exhaust thermocouple	Turbine
55536	1	Vibration	Turbine
55505	19	 Exhaust thermocouple	Turbine
55535	19	 Exhaust thermocouple	Turbine
55543	19	 Exhaust thermocouple	Turbine
55588	30	Temperature	Turbine
55562	33	Inlet pressure	Air
55570	10	Drive end	Compressor
55589	20	Hydraulic oil filter pressure	Oil
55598	29	Fuel gas	Combustion
55605	24	Temperature	Bearing
55614	1	Vibration	Turbine
55628	24	Temperature	Bearing
55639	33	Inlet pressure	Air
55635	19	 Exhaust thermocouple	Turbine
55664	19	 Exhaust thermocouple	Turbine
55682	28	Flame	Combustion
55723	28	Flame	Combustion
55752	19	 Exhaust thermocouple	Turbine
55811	19	 Exhaust thermocouple	Turbine
55755	20	Hydraulic oil filter pressure	Oil
55826	19	 Exhaust thermocouple	Turbine
55790	7	Sump/Scavange	Oil
55813	10	Drive end	Compressor
55857	24	Temperature	Bearing
55854	1	Vibration	Turbine
55841	24	Temperature	Bearing
55875	17	Primary vent	Compressor
55861	24	Temperature	Bearing
55901	34	Bleed	Valve
55917	18	Ventilation	Turbine
55920	1	Vibration	Turbine
55985	30	Temperature	Turbine
55977	5	Speed shaft	GearBox
56003	30	Temperature	Turbine
56013	1	Vibration	Turbine
56638	30	Temperature	Turbine
56043	7	Sump/Scavange	Oil
56071	19	 Exhaust thermocouple	Turbine
56055	14	Tank level	OIl
56058	1	Vibration	Turbine
56066	22	Filter	Air
56105	6	Antisurge	Valve
56100	17	Antisurge	Compressor
56125	24	Temperature	Bearing
56152	1	Vibration	Turbine
56205	1	Vibration	Turbine
56167	3	Header temperature	Oil
56171	5	Speed shaft	GearBox
56180	24	Temperature	Bearing
56198	19	 Exhaust thermocouple	Turbine
56197	24	Temperature	Bearing
56250	3	Header temperature	Oil
56248	20	Hydraulic oil filter pressure	Oil
56254	30	Temperature	Turbine
56301	3	Header temperature	Oil
56300	1	Vibration	Turbine
56309	20	Hydraulic oil filter pressure	Oil
56317	30	Temperature	Turbine
56323	29	Fuel gas	Combustion
56333	19	 Exhaust thermocouple	Turbine
56346	30	Temperature	Turbine
56341	30	Temperature	Turbine
56347	30	Temperature	Turbine
56364	33	Inlet pressure	Air
56350	24	Temperature	Bearing
56359	20	Hydraulic oil filter pressure	Oil
56360	34	Bleed	Valve
56374	30	Temperature	Turbine
56368	1	Vibration	Turbine
56377	7	Sump/Scavange	Oil
56385	30	Temperature	Turbine
56389	22	Filter	Air
56408	30	Temperature	Turbine
56402	34	Bleed	Valve
56429	19	 Exhaust thermocouple	Turbine
56441	30	Temperature	Turbine
56443	29	Fuel gas	Combustion
56489	1	Vibration	Turbine
56465	8	Mineral oil filter pressure	Oil
56466	14	Tank level	OIl
56490	30	Temperature	Turbine
56492	34	Bleed	Valve
56498	19	 Exhaust thermocouple	Turbine
58018	10	Drive end	Compressor
56547	30	Temperature	Turbine
56550	28	Flame	Combustion
56548	24	Temperature	Bearing
56553	3	Header temperature	Oil
56565	20	Hydraulic oil filter pressure	Oil
56566	19	 Exhaust thermocouple	Turbine
56575	1	Vibration	Turbine
56576	24	Temperature	Bearing
56824	3	Header temperature	Oil
56602	19	 Exhaust thermocouple	Turbine
56620	10	Drive end	Compressor
56616	30	Temperature	Turbine
56612	30	Temperature	Turbine
56628	33	Inlet pressure	Air
56631	1	Vibration	Turbine
56637	28	Flame	Combustion
56646	30	Temperature	Turbine
56680	19	 Exhaust thermocouple	Turbine
56704	20	Hydraulic oil filter pressure	Oil
56715	5	Speed shaft	GearBox
56738	5	Speed shaft	GearBox
56755	24	Temperature	Bearing
56758	25	Tank pressure	Oil
56767	5	Speed shaft	GearBox
56768	18	Ventilation	Turbine
56923	30	Temperature	Turbine
56780	24	Temperature	Bearing
58030	24	Temperature	Bearing
56808	19	 Exhaust thermocouple	Turbine
56810	19	 Exhaust thermocouple	Turbine
56814	19	 Exhaust thermocouple	Turbine
56907	13	Lean/Lean mode	Combustion
56861	14	Tank level	OIl
56909	10	Drive end	Compressor
56939	19	 Exhaust thermocouple	Turbine
56952	28	Flame	Combustion
56992	24	Temperature	Bearing
57628	14	Tank level	OIl
56996	1	Vibration	Turbine
57011	1	Vibration	Turbine
57046	26	Gas	Seal
57034	14	Tank level	OIl
57038	10	Drive end	Compressor
57072	24	Temperature	Bearing
57037	14	Tank level	OIl
57040	24	Temperature	Bearing
57085	14	Tank level	OIl
57071	30	Temperature	Turbine
57070	7	Sump/Scavange	Oil
57068	13	Lean/Lean mode	Combustion
57073	5	Speed shaft	GearBox
57084	8	Mineral oil filter pressure	Oil
57082	14	Tank level	OIl
57253	7	Sump/Scavange	Oil
57132	1	Vibration	Turbine
57186	30	Temperature	Turbine
57170	30	Temperature	Turbine
57134	7	Sump/Scavange	Oil
57187	1	Vibration	Turbine
57176	13	Lean/Lean mode	Combustion
57175	30	Temperature	Turbine
57192	20	Hydraulic oil filter pressure	Oil
57197	20	Hydraulic oil filter pressure	Oil
57222	28	Flame	Combustion
57227	8	Mineral oil filter pressure	Oil
57257	7	Sump/Scavange	Oil
57269	14	Tank level	OIl
57275	24	Temperature	Bearing
57276	24	Temperature	Bearing
57291	26	Gas	Seal
57287	7	Sump/Scavange	Oil
57290	35	Supply temperature	Oil
57321	28	Flame	Combustion
57326	19	 Exhaust thermocouple	Turbine
57327	19	 Exhaust thermocouple	Turbine
57333	25	Tank pressure	Oil
57335	19	 Exhaust thermocouple	Turbine
57417	30	Temperature	Turbine
57343	20	Hydraulic oil filter pressure	Oil
57371	20	Hydraulic oil filter pressure	Oil
57375	14	Tank level	OIl
57374	28	Flame	Combustion
57428	35	Supply temperature	Oil
57427	17	Primary vent	Compressor
57458	1	Vibration	Turbine
57476	19	 Exhaust thermocouple	Turbine
57481	8	Mineral oil filter pressure	Oil
57496	30	Temperature	Turbine
57567	14	Tank level	OIl
57507	25	Tank pressure	Oil
57539	33	Inlet pressure	Air
57515	20	Hydraulic oil filter pressure	Oil
57517	10	Drive end	Compressor
57530	7	Sump/Scavange	Oil
57563	24	Temperature	Bearing
57558	18	Ventilation	Turbine
57594	30	Temperature	Turbine
57619	24	Temperature	Bearing
57648	19	 Exhaust thermocouple	Turbine
57828	30	Temperature	Turbine
57803	30	Temperature	Turbine
58193	10	Drive end	Compressor
57757	20	Hydraulic oil filter pressure	Oil
57800	30	Temperature	Turbine
57788	25	Tank pressure	Oil
57804	34	Bleed	Valve
57843	30	Temperature	Turbine
57820	19	 Exhaust thermocouple	Turbine
57877	19	 Exhaust thermocouple	Turbine
57872	19	 Exhaust thermocouple	Turbine
57886	14	Tank level	OIl
57899	34	Bleed	Valve
57888	22	Filter	Air
57896	13	Lean/Lean mode	Combustion
57901	33	Inlet pressure	Air
57940	29	Fuel gas	Combustion
57904	17	Primary vent	Compressor
57942	30	Temperature	Turbine
57944	5	Speed shaft	GearBox
57938	1	Vibration	Turbine
58208	26	Gas	Seal
57955	1	Vibration	Turbine
57961	14	Tank level	OIl
57966	24	Temperature	Bearing
57971	19	 Exhaust thermocouple	Turbine
57986	1	Vibration	Turbine
58004	14	Tank level	OIl
58024	1	Vibration	Turbine
57997	30	Temperature	Turbine
58034	1	Vibration	Turbine
58079	5	Speed shaft	GearBox
58039	22	Filter	Air
58146	30	Temperature	Turbine
58115	30	Temperature	Turbine
58058	19	 Exhaust thermocouple	Turbine
58046	22	Filter	Air
58091	7	Sump/Scavange	Oil
58078	19	 Exhaust thermocouple	Turbine
58093	20	Hydraulic oil filter pressure	Oil
58112	18	Ventilation	Turbine
58116	20	Hydraulic oil filter pressure	Oil
58141	29	Fuel gas	Combustion
58147	12	Discharge temperature	Compressor
58192	17	Primary vent	Compressor
58144	19	 Exhaust thermocouple	Turbine
58148	30	Temperature	Turbine
58251	19	 Exhaust thermocouple	Turbine
58209	1	Vibration	Turbine
58152	17	Primary vent	Compressor
58190	10	Drive end	Compressor
58171	24	Temperature	Bearing
58542	17	Primary vent	Compressor
58237	17	Primary vent	Compressor
58236	35	Supply temperature	Oil
58336	29	Fuel gas	Combustion
58219	5	Speed shaft	GearBox
58216	19	 Exhaust thermocouple	Turbine
58225	22	Filter	Air
58231	10	Drive end	Compressor
58239	10	Drive end	Compressor
58235	20	Hydraulic oil filter pressure	Oil
58252	22	Filter	Air
58256	19	 Exhaust thermocouple	Turbine
58253	8	Mineral oil filter pressure	Oil
58264	19	 Exhaust thermocouple	Turbine
58257	12	Discharge temperature	Compressor
58297	29	Fuel gas	Combustion
58272	1	Vibration	Turbine
58270	3	Header temperature	Oil
58296	20	Hydraulic oil filter pressure	Oil
58295	17	Primary vent	Compressor
58299	25	Tank pressure	Oil
58314	25	Tank pressure	Oil
58326	3	Header temperature	Oil
58393	19	 Exhaust thermocouple	Turbine
58381	30	Temperature	Turbine
58372	33	Inlet pressure	Air
58345	19	 Exhaust thermocouple	Turbine
58371	10	Drive end	Compressor
58346	8	Mineral oil filter pressure	Oil
58357	1	Vibration	Turbine
58368	30	Temperature	Turbine
58374	5	Speed shaft	GearBox
58392	22	Filter	Air
58391	17	Primary vent	Compressor
58446	1	Vibration	Turbine
58389	30	Temperature	Turbine
58394	19	 Exhaust thermocouple	Turbine
58449	17	Primary vent	Compressor
58407	1	Vibration	Turbine
58412	26	Gas	Seal
58429	30	Temperature	Turbine
58430	29	Fuel gas	Combustion
58435	24	Temperature	Bearing
58434	24	Temperature	Bearing
58437	5	Speed shaft	GearBox
58445	34	Bleed	Valve
58443	30	Temperature	Turbine
58448	30	Temperature	Turbine
58447	24	Temperature	Bearing
58471	33	Inlet pressure	Air
58536	10	Drive end	Compressor
58533	1	Vibration	Turbine
58535	5	Speed shaft	GearBox
58539	30	Temperature	Turbine
58537	30	Temperature	Turbine
58544	30	Temperature	Turbine
58561	8	Mineral oil filter pressure	Oil
58570	1	Vibration	Turbine
58571	30	Temperature	Turbine
58578	30	Temperature	Turbine
58588	17	Primary vent	Compressor
58574	3	Header temperature	Oil
58575	17	Primary vent	Compressor
58582	1	Vibration	Turbine
58595	7	Sump/Scavange	Oil
58604	1	Vibration	Turbine
58624	22	Filter	Air
58626	22	Filter	Air
58638	14	Tank level	OIl
58617	30	Temperature	Turbine
58625	22	Filter	Air
58658	18	Ventilation	Turbine
58644	3	Header temperature	Oil
58640	1	Vibration	Turbine
58645	30	Temperature	Turbine
58721	18	Ventilation	Turbine
58661	25	Tank pressure	Oil
58724	30	Temperature	Turbine
58691	20	Hydraulic oil filter pressure	Oil
58692	10	Drive end	Compressor
58694	30	Temperature	Turbine
58723	28	Flame	Combustion
58736	22	Filter	Air
58716	14	Tank level	OIl
58726	17	Primary vent	Compressor
58727	8	Mineral oil filter pressure	Oil
58734	30	Temperature	Turbine
58740	10	Drive end	Compressor
58757	26	Gas	Seal
58756	20	Hydraulic oil filter pressure	Oil
58778	14	Tank level	OIl
58779	17	Primary vent	Compressor
58780	17	Primary vent	Compressor
58782	20	Hydraulic oil filter pressure	Oil
58794	19	 Exhaust thermocouple	Turbine
58783	5	Speed shaft	GearBox
58788	19	 Exhaust thermocouple	Turbine
58785	26	Gas	Seal
58792	8	Mineral oil filter pressure	Oil
58789	33	Inlet pressure	Air
58795	33	Inlet pressure	Air
58791	25	Tank pressure	Oil
58796	7	Sump/Scavange	Oil
58798	30	Temperature	Turbine
58830	22	Filter	Air
58828	24	Temperature	Bearing
58833	8	Mineral oil filter pressure	Oil
58831	16	ABAL system	Combustion
58840	33	Inlet pressure	Air
58832	25	Tank pressure	Oil
58834	25	Tank pressure	Oil
58841	5	Speed shaft	GearBox
58838	22	Filter	Air
58842	30	Temperature	Turbine
58845	30	Temperature	Turbine
58889	30	Temperature	Turbine
58869	30	Temperature	Turbine
58882	30	Temperature	Turbine
58888	19	 Exhaust thermocouple	Turbine
58904	5	Speed shaft	GearBox
58905	26	Gas	Seal
58908	24	Temperature	Bearing
58911	34	Bleed	Valve
58955	5	Speed shaft	GearBox
58956	19	 Exhaust thermocouple	Turbine
58957	34	Bleed	Valve
58982	30	Temperature	Turbine
59009	26	Gas	Seal
58988	30	Temperature	Turbine
58989	14	Tank level	OIl
58999	30	Temperature	Turbine
59000	19	 Exhaust thermocouple	Turbine
59068	12	Discharge temperature	Compressor
59050	5	Speed shaft	GearBox
59136	33	Inlet pressure	Air
59088	1	Vibration	Turbine
59098	8	Mineral oil filter pressure	Oil
59105	5	Speed shaft	GearBox
59118	17	Primary vent	Compressor
59119	5	Speed shaft	GearBox
59125	7	Sump/Scavange	Oil
59142	19	 Exhaust thermocouple	Turbine
59156	17	Primary vent	Compressor
59159	30	Temperature	Turbine
59161	19	 Exhaust thermocouple	Turbine
59162	19	 Exhaust thermocouple	Turbine
59189	30	Temperature	Turbine
59170	12	Discharge temperature	Compressor
59181	10	Drive end	Compressor
59183	30	Temperature	Turbine
59197	24	Temperature	Bearing
59185	19	 Exhaust thermocouple	Turbine
59221	30	Temperature	Turbine
59224	17	Primary vent	Compressor
59207	3	Header temperature	Oil
59220	26	Gas	Seal
59111	34	Bleed	Valve
59227	20	Hydraulic oil filter pressure	Oil
59238	34	Bleed	Valve
59237	19	 Exhaust thermocouple	Turbine
59249	22	Filter	Air
59248	22	Filter	Air
59247	33	Inlet pressure	Air
59279	30	Temperature	Turbine
59419	19	 Exhaust thermocouple	Turbine
59251	28	Flame	Combustion
59252	28	Flame	Combustion
59262	17	Primary vent	Compressor
59283	34	Bleed	Valve
59285	13	Lean/Lean mode	Combustion
59324	8	Mineral oil filter pressure	Oil
59335	28	Flame	Combustion
59329	30	Temperature	Turbine
59334	17	Primary vent	Compressor
59336	30	Temperature	Turbine
59372	1	Vibration	Turbine
59382	25	Tank pressure	Oil
59338	10	Drive end	Compressor
59350	30	Temperature	Turbine
59355	30	Temperature	Turbine
59416	15	Speed	Clutch
59361	24	Temperature	Bearing
59369	5	Speed shaft	GearBox
59399	18	Ventilation	Turbine
59390	29	Fuel gas	Combustion
59403	30	Temperature	Turbine
59402	30	Temperature	Turbine
59380	26	Gas	Seal
59391	20	Hydraulic oil filter pressure	Oil
59429	28	Flame	Combustion
59411	10	Drive end	Compressor
59417	30	Temperature	Turbine
59458	19	 Exhaust thermocouple	Turbine
59422	33	Inlet pressure	Air
59459	19	 Exhaust thermocouple	Turbine
59435	5	Speed shaft	GearBox
59438	19	 Exhaust thermocouple	Turbine
59477	30	Temperature	Turbine
59455	19	 Exhaust thermocouple	Turbine
59478	30	Temperature	Turbine
59479	30	Temperature	Turbine
59480	28	Flame	Combustion
59487	19	 Exhaust thermocouple	Turbine
59515	7	Sump/Scavange	Oil
59523	22	Filter	Air
59519	30	Temperature	Turbine
59527	12	Discharge temperature	Compressor
59569	30	Temperature	Turbine
59530	33	Inlet pressure	Air
59575	33	Inlet pressure	Air
59535	24	Temperature	Bearing
59541	34	Bleed	Valve
59542	25	Tank pressure	Oil
59577	14	Tank level	OIl
59571	19	 Exhaust thermocouple	Turbine
59576	30	Temperature	Turbine
59579	1	Vibration	Turbine
59581	1	Vibration	Turbine
59582	24	Temperature	Bearing
59618	13	Lean/Lean mode	Combustion
59596	29	Fuel gas	Combustion
59592	30	Temperature	Turbine
59598	34	Bleed	Valve
59615	20	Hydraulic oil filter pressure	Oil
59642	5	Speed shaft	GearBox
59637	19	 Exhaust thermocouple	Turbine
59622	22	Filter	Air
59635	33	Inlet pressure	Air
59641	30	Temperature	Turbine
59640	25	Tank pressure	Oil
59643	19	 Exhaust thermocouple	Turbine
59692	3	Header temperature	Oil
59713	19	 Exhaust thermocouple	Turbine
59709	30	Temperature	Turbine
59699	7	Sump/Scavange	Oil
59716	24	Temperature	Bearing
59736	17	Primary vent	Compressor
59717	1	Vibration	Turbine
59721	19	 Exhaust thermocouple	Turbine
59746	25	Tank pressure	Oil
59752	1	Vibration	Turbine
60325	30	Temperature	Turbine
59763	1	Vibration	Turbine
59800	17	Primary vent	Compressor
59786	22	Filter	Air
59807	1	Vibration	Turbine
59797	1	Vibration	Turbine
59825	24	Temperature	Bearing
59814	24	Temperature	Bearing
59826	1	Vibration	Turbine
59830	17	Primary vent	Compressor
59834	7	Sump/Scavange	Oil
59837	22	Filter	Air
59872	24	Temperature	Bearing
59869	25	Tank pressure	Oil
59907	30	Temperature	Turbine
59903	10	Drive end	Compressor
59905	7	Sump/Scavange	Oil
59908	30	Temperature	Turbine
59918	33	Inlet pressure	Air
59922	34	Bleed	Valve
59926	8	Mineral oil filter pressure	Oil
59943	24	Temperature	Bearing
59973	19	 Exhaust thermocouple	Turbine
59952	30	Temperature	Turbine
59969	26	Gas	Seal
59951	1	Vibration	Turbine
59972	30	Temperature	Turbine
59974	30	Temperature	Turbine
59975	21	Gas	Turbine
59983	17	Primary vent	Compressor
59984	19	 Exhaust thermocouple	Turbine
59985	18	Ventilation	Turbine
59989	1	Vibration	Turbine
60007	34	Bleed	Valve
60005	1	Vibration	Turbine
60008	17	Primary vent	Compressor
60021	26	Gas	Seal
60031	32	Consumption	Oil
60022	26	Gas	Seal
60025	34	Bleed	Valve
60032	33	Inlet pressure	Air
60047	30	Temperature	Turbine
60048	30	Temperature	Turbine
60052	34	Bleed	Valve
60057	24	Temperature	Bearing
60061	22	Filter	Air
60071	22	Filter	Air
60067	5	Speed shaft	GearBox
60069	19	 Exhaust thermocouple	Turbine
60076	5	Speed shaft	GearBox
60077	24	Temperature	Bearing
60102	30	Temperature	Turbine
60091	3	Header temperature	Oil
60081	26	Gas	Seal
60103	20	Hydraulic oil filter pressure	Oil
60113	19	 Exhaust thermocouple	Turbine
60111	33	Inlet pressure	Air
60155	17	Primary vent	Compressor
60163	20	Hydraulic oil filter pressure	Oil
60169	19	 Exhaust thermocouple	Turbine
60208	14	Tank level	OIl
60197	26	Gas	Seal
60198	24	Temperature	Bearing
60200	30	Temperature	Turbine
60203	12	Discharge temperature	Compressor
60213	30	Temperature	Turbine
60231	7	Sump/Scavange	Oil
60229	25	Tank pressure	Oil
60235	34	Bleed	Valve
60238	19	 Exhaust thermocouple	Turbine
60240	5	Speed shaft	GearBox
60251	30	Temperature	Turbine
60269	28	Flame	Combustion
60293	13	Lean/Lean mode	Combustion
60285	1	Vibration	Turbine
60298	33	Inlet pressure	Air
60292	30	Temperature	Turbine
60320	30	Temperature	Turbine
60327	12	Discharge temperature	Compressor
60350	3	Header temperature	Oil
60344	19	 Exhaust thermocouple	Turbine
60333	30	Temperature	Turbine
60373	22	Filter	Air
60394	19	 Exhaust thermocouple	Turbine
60407	19	 Exhaust thermocouple	Turbine
60419	33	Inlet pressure	Air
60418	5	Speed shaft	GearBox
60431	17	Primary vent	Compressor
60448	14	Tank level	OIl
60453	29	Fuel gas	Combustion
60467	19	 Exhaust thermocouple	Turbine
60474	3	Header temperature	Oil
60486	10	Drive end	Compressor
60499	8	Mineral oil filter pressure	Oil
60504	1	Vibration	Turbine
60503	7	Sump/Scavange	Oil
60530	19	 Exhaust thermocouple	Turbine
60526	30	Temperature	Turbine
60532	28	Flame	Combustion
60547	19	 Exhaust thermocouple	Turbine
60551	19	 Exhaust thermocouple	Turbine
60550	32	Consumption	Oil
60559	30	Temperature	Turbine
60579	19	 Exhaust thermocouple	Turbine
60581	12	Discharge temperature	Compressor
60574	34	Bleed	Valve
60580	30	Temperature	Turbine
60583	35	Supply temperature	Oil
60584	29	Fuel gas	Combustion
60582	7	Sump/Scavange	Oil
60592	3	Header temperature	Oil
60602	1	Vibration	Turbine
60595	3	Header temperature	Oil
60601	30	Temperature	Turbine
60603	19	 Exhaust thermocouple	Turbine
60596	5	Speed shaft	GearBox
60625	14	Tank level	OIl
60633	34	Bleed	Valve
60628	22	Filter	Air
60630	21	Gas	Turbine
60640	26	Gas	Seal
60653	30	Temperature	Turbine
60663	19	 Exhaust thermocouple	Turbine
60681	22	Filter	Air
60695	13	Lean/Lean mode	Combustion
60703	30	Temperature	Turbine
60742	12	Discharge temperature	Compressor
60745	7	Sump/Scavange	Oil
60746	24	Temperature	Bearing
60775	17	Primary vent	Compressor
60797	3	Header temperature	Oil
60819	10	Drive end	Compressor
60816	24	Temperature	Bearing
60814	17	Primary vent	Compressor
60849	24	Temperature	Bearing
60826	34	Bleed	Valve
60866	1	Vibration	Turbine
60856	12	Discharge temperature	Compressor
60865	7	Sump/Scavange	Oil
60874	24	Temperature	Bearing
60892	14	Tank level	OIl
